"","ClusterHour","slope_Temp","slope_Irrad","intercept","minimum"
"71",322,-1.63189315795898,-4.09266397356987,34.8285257518291,16.773285061121
"72",323,-2.4297769403628,-3.3662441509022,37.0288845023326,23.1884725286509
"73",400,-2.82734317382874,-1.77138339739598,38.4582842062616,26.4252290281411
"74",401,-2.13987753017813,-0.335583617236582,34.7724552548939,30.1818150305339
"75",402,-3.35458247397434,-1.13363248689683,37.4163597576318,26.6271398648133
"76",403,-3.35345736145973,-1.65371349453926,39.3083038032055,28.7013798356056
"77",404,-2.58056433313809,-1.95057146639964,43.1554003255692,23.4647991059252
"78",405,-1.6683413826853,-0.365916559557192,38.1325690567284,23.0243875527463
"79",406,-1.95780122280121,-0.115249410271645,39.4453236758709,27.6502792090178
"80",407,-2.48408851665308,-0.291528200297364,53.9333251055119,38.6793663790014
"81",408,-4.00163629849811,-0.0247000018386253,31.8656012851759,50.4230684117968
"82",409,-3.26507451237267,-0.0414354919757374,127.203717602283,115.478515880615
"83",410,-4.60216505185394,-0.00843692358113773,124.405516653034,105.654636880284
"84",411,-3.82098868489265,-0.0139436721801758,120.395638689399,97.6884110867977
"85",412,-5.77203255528673,-0.0078814165808003,120.766000940138,96.0406187401645
"86",413,-4.36816422641277,-0.0156862884759903,121.473175272346,72.2439870983362
"87",414,-5.22676983475685,-5.22676983475685,-0.0230463147163391,-0.0230463147163391
"88",415,-4.82084414949219,-0.0443475572890797,121.214189130475,79.7139090699778
"89",416,-4.93857819885413,-0.0629817986668548,119.041512797113,69.5814660777682
"90",417,-4.94584549963474,-0.465828895568848,105.629656597972,74.3737868964672
"91",418,-2.21199383259488,-0.708074228945456,57.9412678200203,36.1868333183163
"92",419,-2.77370125055313,-0.235986843705177,54.9041662365198,39.2966726571321
"93",420,-2.81829604893421,-3.61285529394199,50.4580635418912,49.1240874086888
"94",421,-4.00576269861806,-1.24095052500334,49.74513786236,48.5737585594266
"95",422,-0.361664742231369,-0.341038182377815,-5.59958797693253,-5.59958797693253
"96",423,-2.01838411093454,-2.75240718012947,36.7246648502657,28.919799360579
"97",500,-1.33807777380739,-0.372948919450906,25.7040052879904,11.0879117843452
"98",501,-2.22362721188435,-1.95774968355267,32.9216713084795,16.1857772627243
"99",502,-1.72616863285173,-0.123646340516228,31.0246924460504,12.7278697135053
"100",503,-1.13958028294218,-0.500302496587946,27.5101608332922,17.0524899559323
"101",504,-1.7911868437762,-0.0351654903741035,30.3349274003806,9.95281747734547
"102",505,-1.61062261578727,-0.00804045229669686,30.4682153719712,15.381751120869
"103",506,-1.99625039999362,-0.00416819135308815,31.3124380514309,17.3246657148241
"104",507,-3.24976384729294,-0.00133745304884049,31.1506248077486,26.3334794570989
"105",508,-1.20568642020226,-0.0442249625921249,21.1073766052723,30.1999770700932
"106",509,-2.65044549735877,-0.0984417283517585,32.2270334231003,34.6989737002622
"107",510,-1.90924814370833,-0.0606949255460061,27.8936048761646,37.6000003376529
"108",511,-3.19470040500164,-0.0599247664213181,31.6169923096895,29.1892897486687
"109",512,-2.71963626921614,-0.0765561736104338,27.903126523766,32.6994203129007
"110",513,-2.1457866281271,-2.1457866281271,-0.0518465340137482,-0.0736262500286102
"111",514,-3.80990326404572,-0.064265176653862,30.4122163504362,30.3998667150736
"112",515,-0.111375510472874,-0.0276714640280895,34.7955869853914,12.474903959868
"113",516,-1.26379198235565,-0.0401253990733499,34.5046175540744,29.8506784806281
"114",517,-0.118333680302971,-0.070581282265361,35.4818760840775,19.638758859688
"115",518,-0.997874850388034,-0.0485537382659983,32.5924711728425,3.8524384989959
"116",519,-1.54471902578703,-0.143426707608894,34.29162864455,4.90920235048165
"117",520,-1.17482496038498,-0.830873080182019,34.1404517630046,6.31560175649881
"118",521,-1.01973929931646,-0.886585951399186,35.3037366338653,20.4936050204748
"119",522,-1.20766082603298,-0.206610469521715,21.8978903272145,6.96071961624999
"120",523,-1.85164294183529,-0.335379841653353,29.0244670336136,7.53521703620176
