"","DATE_hour_week","slope_Temp","slope_Irrad","intercept","minimum"
"47",46,-1.54778555965215,-0.121261387417812,28.3430444010535,2.0558899959286
"48",47,-1.74063621106553,-0.965390528438821,32.6742775643382,4.41616984793714
"49",48,-2.01904587794198,-1.34244766076064,30.6310422131907,4.8096298697203
"50",49,-2.30109130709153,-1.71190201832247,34.3609065933866,4.356512394631
"51",50,-2.04727371709213,-0.3206923074403,30.8971643824898,8.22727332669755
"52",51,-2.18415957689285,-0.617737770080566,33.6465143114328,4.89404858648777
"53",52,-1.99533042311668,-0.687402129173279,33.2978072464466,3.38808755576611
"54",53,-1.7579389424111,-0.116615468080844,33.7018251674534,6.32061060713473
"55",54,-2.06162874968856,-0.0365579834586564,33.1667279707889,1.51455406179713
"56",55,-2.31886198654732,-0.104890015867544,48.0309920273493,3.34175768308738
"57",56,-2.30562124226487,-0.0121897366233898,47.7666777053944,2.00360283054802
"58",57,-6.17286478325307,-0.0421829519683683,130.117378531786,10.5996068619435
"59",58,-6.24785505226639,-0.0475328854469016,132.041316674218,4.56265233618311
"60",59,-5.63325285612757,-0.0592205198378741,125.678483046192,13.8616251076609
"61",60,-5.81677269935608,-0.0468729585409164,123.815282762051,12.5598314404488
"62",61,-5.49844656349524,-0.0663176805558099,124.62073229778,6.29003427946009
"63",62,-5.92527822811602,-0.0289547510075391,114.278634459747,19.114092065205
"64",63,-5.08656532010832,-0.113557815448026,125.065136716296,10.8502454249691
"65",64,-4.79830294847488,-0.130853980779648,117.058193236589,4.92414073646069
"66",65,-4.72499997498723,-0.146804296511745,97.6755498053886,7.00520111692421
"67",66,-2.37775603029078,-0.0916625346921201,55.5037967705225,4.93528319678735
"68",67,-2.46370896632145,-0.404653372432554,54.7908527195688,4.77129184955265
"69",68,-2.63883534238717,-1.03836087020544,53.391945747664,3.86532653386982
"70",69,-2.77024527892001,-3.97864004698278,57.1049007088309,1.84290975204529
"71",70,-2.20256647617187,-1.46733607531483,38.5216675521135,4.06981624317031
"72",71,-2.5846534553845,-1.20348056488127,39.7323416039804,3.80513974609369
"73",72,-2.17466161056446,-0.950652188675366,37.090480590522,2.62851797212519
"74",73,-2.40680094432392,-1.16632680773588,37.7132866287405,3.92556502295287
"75",74,-2.23473216554455,-0.999962009073218,38.2913033938523,4.91391735316929
"76",75,-2.88000415918711,-1.15793628352157,40.4380477835135,3.6332537413957
"77",76,-2.83428885042667,-0.142080590128899,37.2946606427431,7.57172976434231
"78",77,-2.58054841209207,-0.0496557110801433,37.0472957101361,2.85212512972231
"79",78,-2.31914279958049,-0.041172098644296,39.7900620192079,7.14393053043952
"80",79,-2.59033423590559,-0.0303280754219478,46.3457488266779,4.36111211462591
"81",80,-3.1447441726923,-0.0276322364807129,60.7662844210863,11.8072692602873
"82",81,-5.49973912537098,-0.125335872173309,137.510113596916,6.60228328406811
"83",82,-5.59091288194568,-0.0433990610400943,128.806449098421,11.0421720645297
